year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,157940,104390,54100,53550,57,51,230
2011,169600,153700,15000,15900,10,10,108
2011,133560,133560,0,0,0,0,18
2011,151763,157490,0,-5727,0,-4,167
2011,228854,258640,-28100,-29786,-12,-12,108
2011,417110,255248,152700,161862,63,63,124
2011,127200,74200,50000,53000,71,71,121
2011,87980,132000,-37000,-44020,-31,-33,181
2011,551200,226840,306000,324360,143,143,115
2011,502440,852657,-301143,-350217,-39,-41,177
2011,258608,224439,32235,34169,15,15,86
2011,108120,85330,21500,22790,27,27,44
2011,177020,161275,14854,15745,10,10,39
2011,154893,154893,0,0,0,0,1
2011,354040,192500,159000,161540,91,84,297
2011,63494,68200,-2100,-4706,-3,-7,196
2011,382660,381575,14114,1085,4,0,245
2011,143100,238909,-82190,-95809,-38,-40,203
2011,74200,91425,-16250,-17225,-19,-19,98
2011,306340,272821,31622,33519,12,12,82
2011,128790,192613,-53603,-63823,-31,-33,192
2011,154760,190993,-27630,-36233,-16,-19,199
2011,174900,219083,-41682,-44183,-20,-20,71
2011,189740,165000,29000,24740,19,15,251
2011,42400,219950,-167500,-177550,-81,-81,1
2011,82680,106077,-22073,-23397,-22,-22,55
2011,84800,162800,-68000,-78000,-46,-48,233
2011,190800,148400,40000,42400,29,29,23
2011,233200,262350,-18500,-29150,-8,-11,218
2011,159000,214816,-45287,-55816,-23,-26,238
2011,143100,251084,-93258,-107984,-41,-43,291
2011,141934,176715,-26750,-34781,-17,-20,143
2011,131501,210940,-74942,-79439,-38,-38,95
2011,137694,164300,-25100,-26606,-16,-16,102
2011,199280,231955,-30825,-32675,-14,-14,117
2011,139920,165000,-18000,-25080,-12,-15,186
2011,116600,114915,5532,1685,5,1,233
2011,103138,283426,-160360,-180288,-62,-64,300
2011,143100,131440,11000,11660,9,9,87
2011,283020,82500,192000,200520,256,243,208
2011,140980,136532,8880,4448,7,3,157
2011,192920,161120,30000,31800,20,20,94
2011,113420,228608,-100825,-115188,-49,-50,228
2011,102290,121000,-13500,-18710,-12,-15,242
2011,567100,165000,385000,402100,257,244,232
2011,254294,154550,99400,99744,71,65,291
2011,148331,156607,-7807,-8275,-5,-5,99
2011,318915,249688,65308,69226,28,28,82
2011,281324,77000,195400,204324,279,265,246
2011,272420,407756,-113687,-135336,-31,-33,212
2011,222494,28710,183800,193784,704,675,294
2011,100700,205190,-91536,-104490,-49,-51,266
2011,117766,282466,-145687,-164700,-57,-58,126
2011,155820,144144,15960,11676,12,8,190
2011,195040,148654,43760,46386,31,31,68
2011,137694,197352,-56281,-59658,-30,-30,109
2011,172250,59360,106500,112890,190,190,95
2011,295210,275000,28500,20210,11,7,145
2011,170660,110000,61000,60660,61,55,174
2011,21200,22000,0,-800,0,-4,208
2011,114480,85754,27100,28726,34,34,14
2011,171720,151800,24000,19920,17,13,246
2011,113420,199181,-80907,-85761,-43,-43,47
2011,102820,102820,0,0,0,0,12
2011,207242,226298,-17978,-19057,-8,-8,50
2011,91823,149317,-49118,-57495,-36,-39,210
2011,148400,205318,-46653,-56918,-25,-28,176
2011,70666,14477,53008,56188,388,388,28
2011,487600,111210,358900,376390,355,338,283
2011,159000,280268,-114404,-121268,-43,-43,87
2011,376300,439890,-44900,-63590,-11,-14,313
2011,182532,305920,-105909,-123388,-38,-40,228
2011,156297,174900,-11550,-18603,-7,-11,202
2011,296800,178200,118000,118600,73,67,138
2011,149609,228193,-66307,-78583,-32,-34,304
2011,328600,423122,-74656,-94522,-19,-22,237
2011,307930,104500,195500,203430,206,195,151
2011,141870,188100,-37160,-46230,-22,-25,238
2011,174900,302946,-110405,-128046,-40,-42,188
2011,184970,383900,-174500,-198930,-50,-52,289
2011,139814,171329,-23854,-31515,-15,-18,157
2011,135150,288444,-134722,-153294,-51,-53,197
2011,189184,153802,33379,35382,23,23,91
2011,398772,423717,-23533,-24945,-6,-6,55
2011,185500,216333,-21666,-30833,-11,-14,267
2011,235850,345094,-91222,-109244,-29,-32,176
2011,79500,220361,-125328,-140861,-63,-64,140
2011,122960,227700,-91000,-104740,-44,-46,211
2011,182320,242000,-48000,-59680,-22,-25,220
2011,192920,132000,62000,60920,52,46,134
2011,103880,148176,-36705,-44296,-27,-30,223
2011,884607,884607,0,0,0,0,19
2011,155025,155025,0,0,0,0,2
2011,206700,206700,0,0,0,0,7
2011,212000,66000,140000,146000,233,221,294
2011,77380,186607,-96643,-109227,-57,-59,364
2011,106000,180740,-64309,-74740,-39,-41,124
2011,328600,853819,-466199,-525219,-60,-62,160
2011,348740,338140,10000,10600,3,3,60
2011,89040,117130,-26500,-28090,-24,-24,40
2011,118720,193715,-70750,-74995,-39,-39,74
2011,132500,74800,57000,57700,84,77,118
2011,278780,291896,-2360,-13116,-1,-4,251
2011,177285,126500,52250,50785,45,40,211
2011,163134,90100,68900,73034,81,81,73
2011,360400,176000,180000,184400,113,105,286
2011,121900,186767,-61195,-64867,-35,-35,54
2011,111300,185362,-63511,-74062,-38,-40,216
2011,286200,348740,-59000,-62540,-18,-18,59
2011,155820,192882,-34964,-37062,-19,-19,58
2011,376300,441766,-46605,-65466,-12,-15,118
2011,291500,346150,-39682,-54650,-13,-16,193
2011,167242,151363,20172,15878,15,10,217
2011,267650,481240,-184991,-213590,-42,-44,216
2011,265318,347123,-65266,-81805,-21,-24,276
2011,181260,248409,-63348,-67149,-27,-27,79
2011,120840,68900,49000,51940,75,75,98
2011,413400,206700,195000,206700,100,100,93
2011,177020,183580,109,-6560,0,-4,129
2011,169600,165000,10000,4600,7,3,309
2011,139920,1,131999,139919,13199900,12719900,192
2011,146174,150395,1177,-4221,1,-3,114
2011,135680,110000,28000,25680,28,23,118
2011,125080,274167,-131243,-149087,-53,-54,147
2011,243800,341129,-80117,-97329,-26,-29,183
2011,312700,346471,-19974,-33771,-6,-10,138
2011,198750,109180,84500,89570,82,82,42
2011,132500,83969,48665,48532,64,58,189
2011,83952,99616,-11360,-15664,-13,-16,226
2011,97520,107800,-6000,-10280,-6,-10,217
2011,168540,220068,-41062,-51528,-21,-23,218
2011,151050,140375,10071,10675,8,8,60
2011,784400,795000,-10000,-10600,-1,-1,89
2011,201400,243922,-31747,-42522,-14,-17,210
2011,217300,223655,1677,-6355,1,-3,132
2011,217300,236500,-10000,-19200,-5,-8,116
2011,164512,88000,75200,76512,94,87,363
2011,62673,65038,0,-2365,0,-4,208
2011,242210,71500,163500,170710,252,239,210
2011,296885,406217,-89208,-109332,-24,-27,140
2011,85860,153827,-58843,-67967,-42,-44,250
2011,483890,393250,99000,90640,28,23,140
2011,444140,258500,184000,185640,78,72,195
2011,148400,235429,-74026,-87029,-35,-37,197
